reading_id,timestamp_utc,home_id,panel_rated_amps,voltage,safety_threshold_a,appliance_id,appliance_name,location,priority_category,rated_kw,state,power_kw,current_a,panel_total_current_a,panel_headroom_a,alert_level
r-00037,2026-07-11T12:00:49Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,11.58,68.42,NORMAL
r-00038,2026-07-11T12:00:49Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,ON,-4.636,19.32,11.58,68.42,NORMAL
r-00039,2026-07-11T12:00:49Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,11.58,68.42,NORMAL
r-00040,2026-07-11T12:00:49Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,ON,0.634,2.64,11.58,68.42,NORMAL
r-00041,2026-07-11T12:00:49Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,11.58,68.42,NORMAL
r-00042,2026-07-11T12:00:49Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,11.58,68.42,NORMAL
r-00043,2026-07-11T12:00:49Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,ON,1.153,4.8,11.58,68.42,NORMAL
r-00044,2026-07-11T12:00:49Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,ON,4.461,18.59,11.58,68.42,NORMAL
r-00045,2026-07-11T17:30:49Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.121,0.5,5.69,74.31,NORMAL
r-00046,2026-07-11T17:30:49Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.423,1.76,5.69,74.31,NORMAL
r-00047,2026-07-11T17:30:49Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.586,2.44,5.69,74.31,NORMAL
r-00048,2026-07-11T17:30:49Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.236,0.98,5.69,74.31,NORMAL
r-00049,2026-07-11T17:30:49Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,5.69,74.31,NORMAL
r-00050,2026-07-11T17:30:49Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,5.69,74.31,NORMAL
r-00051,2026-07-11T17:30:49Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,OFF,0,0,5.69,74.31,NORMAL
r-00052,2026-07-11T17:30:49Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,5.69,74.31,NORMAL
r-00053,2026-07-11T17:30:49Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,5.69,74.31,NORMAL
r-00054,2026-07-11T17:30:49Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,OFF,0,0,5.69,74.31,NORMAL
r-00055,2026-07-11T17:30:49Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,OFF,0,0,5.69,74.31,NORMAL
r-00056,2026-07-11T19:45:42Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.168,0.7,14.65,65.35,NORMAL
r-00057,2026-07-11T19:45:42Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.374,1.56,14.65,65.35,NORMAL
r-00058,2026-07-11T19:45:42Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.47,1.96,14.65,65.35,NORMAL
r-00059,2026-07-11T19:45:42Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.195,0.81,14.65,65.35,NORMAL
r-00060,2026-07-11T19:45:42Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,14.65,65.35,NORMAL
r-00061,2026-07-11T19:45:42Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,14.65,65.35,NORMAL
r-00062,2026-07-11T19:45:42Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,OFF,0,0,14.65,65.35,NORMAL
r-00063,2026-07-11T19:45:42Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,ON,0.873,3.64,14.65,65.35,NORMAL
r-00064,2026-07-11T19:45:42Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,14.65,65.35,NORMAL
r-00065,2026-07-11T19:45:42Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,ON,1.436,5.98,14.65,65.35,NORMAL
r-00066,2026-07-11T19:45:42Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,OFF,0,0,14.65,65.35,NORMAL
r-00067,2026-07-11T22:10:04Z,home-001,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.156,0.65,5.94,74.06,NORMAL
r-00068,2026-07-11T22:10:04Z,home-001,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.338,1.41,5.94,74.06,NORMAL
r-00069,2026-07-11T22:10:04Z,home-001,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.461,1.92,5.94,74.06,NORMAL
r-00070,2026-07-11T22:10:04Z,home-001,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.263,1.1,5.94,74.06,NORMAL
r-00071,2026-07-11T22:10:04Z,home-001,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,5.94,74.06,NORMAL
r-00072,2026-07-11T22:10:04Z,home-001,100,240,80,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,5.94,74.06,NORMAL
r-00073,2026-07-11T22:10:04Z,home-001,100,240,80,pool_pump,Pool pump,outdoor,deferable,1.1,OFF,0,0,5.94,74.06,NORMAL
r-00074,2026-07-11T22:10:04Z,home-001,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,5.94,74.06,NORMAL
r-00075,2026-07-11T22:10:04Z,home-001,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,ON,0.207,0.86,5.94,74.06,NORMAL
r-00076,2026-07-11T22:10:04Z,home-001,100,240,80,hp_water_heater,Heat-pump water heater,indoor,flexible,1.5,OFF,0,0,5.94,74.06,NORMAL
r-00077,2026-07-11T22:10:04Z,home-001,100,240,80,dryer,Electric dryer,indoor,deferable,5,OFF,0,0,5.94,74.06,NORMAL
r-00078,2026-07-11T00:15:12Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.127,0.53,41.23,38.77,NORMAL
r-00079,2026-07-11T00:15:12Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.376,1.57,41.23,38.77,NORMAL
r-00080,2026-07-11T00:15:12Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.444,1.85,41.23,38.77,NORMAL
r-00081,2026-07-11T00:15:12Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,41.23,38.77,NORMAL
r-00082,2026-07-11T00:15:12Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,ON,3.379,14.08,41.23,38.77,NORMAL
r-00083,2026-07-11T00:15:12Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,OFF,0,0,41.23,38.77,NORMAL
r-00084,2026-07-11T00:15:12Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,OFF,0,0,41.23,38.77,NORMAL
r-00085,2026-07-11T00:15:12Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,41.23,38.77,NORMAL
r-00086,2026-07-11T00:15:12Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,ON,4.907,20.45,41.23,38.77,NORMAL
r-00087,2026-07-11T00:15:12Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,41.23,38.77,NORMAL
r-00088,2026-07-11T00:15:12Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,OFF,0,0,41.23,38.77,NORMAL
r-00089,2026-07-11T00:15:12Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.469,1.95,41.23,38.77,NORMAL
r-00090,2026-07-11T00:15:12Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.194,0.81,41.23,38.77,NORMAL
r-00091,2026-07-11T06:30:25Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.191,0.8,32.54,47.46,NORMAL
r-00092,2026-07-11T06:30:25Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.312,1.3,32.54,47.46,NORMAL
r-00093,2026-07-11T06:30:25Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.331,1.38,32.54,47.46,NORMAL
r-00094,2026-07-11T06:30:25Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,ON,0.338,1.41,32.54,47.46,NORMAL
r-00095,2026-07-11T06:30:25Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,OFF,0,0,32.54,47.46,NORMAL
r-00096,2026-07-11T06:30:25Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,ON,6.044,25.18,32.54,47.46,NORMAL
r-00097,2026-07-11T06:30:25Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,OFF,0,0,32.54,47.46,NORMAL
r-00098,2026-07-11T06:30:25Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,32.54,47.46,NORMAL
r-00099,2026-07-11T06:30:25Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,32.54,47.46,NORMAL
r-00100,2026-07-11T06:30:25Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,32.54,47.46,NORMAL
r-00101,2026-07-11T06:30:25Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,ON,0.162,0.68,32.54,47.46,NORMAL
r-00102,2026-07-11T06:30:25Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.432,1.8,32.54,47.46,NORMAL
r-00103,2026-07-11T06:30:25Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,32.54,47.46,NORMAL
r-00104,2026-07-11T08:45:03Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.177,0.74,39.38,40.62,NORMAL
r-00105,2026-07-11T08:45:03Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.288,1.2,39.38,40.62,NORMAL
r-00106,2026-07-11T08:45:03Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.488,2.03,39.38,40.62,NORMAL
r-00107,2026-07-11T08:45:03Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,39.38,40.62,NORMAL
r-00108,2026-07-11T08:45:03Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,OFF,0,0,39.38,40.62,NORMAL
r-00109,2026-07-11T08:45:03Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,ON,6.876,28.65,39.38,40.62,NORMAL
r-00110,2026-07-11T08:45:03Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,ON,0.887,3.7,39.38,40.62,NORMAL
r-00111,2026-07-11T08:45:03Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,39.38,40.62,NORMAL
r-00112,2026-07-11T08:45:03Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,39.38,40.62,NORMAL
r-00113,2026-07-11T08:45:03Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,39.38,40.62,NORMAL
r-00114,2026-07-11T08:45:03Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,ON,0.238,0.99,39.38,40.62,NORMAL
r-00115,2026-07-11T08:45:03Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.496,2.07,39.38,40.62,NORMAL
r-00116,2026-07-11T08:45:03Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,39.38,40.62,NORMAL
r-00117,2026-07-11T12:00:39Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.117,0.49,19.1,60.9,NORMAL
r-00118,2026-07-11T12:00:39Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.423,1.76,19.1,60.9,NORMAL
r-00119,2026-07-11T12:00:39Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.483,2.01,19.1,60.9,NORMAL
r-00120,2026-07-11T12:00:39Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,ON,0.234,0.97,19.1,60.9,NORMAL
r-00121,2026-07-11T12:00:39Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,OFF,0,0,19.1,60.9,NORMAL
r-00122,2026-07-11T12:00:39Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,OFF,0,0,19.1,60.9,NORMAL
r-00123,2026-07-11T12:00:39Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,ON,0.852,3.55,19.1,60.9,NORMAL
r-00124,2026-07-11T12:00:39Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,19.1,60.9,NORMAL
r-00125,2026-07-11T12:00:39Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,ON,2.028,8.45,19.1,60.9,NORMAL
r-00126,2026-07-11T12:00:39Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,19.1,60.9,NORMAL
r-00127,2026-07-11T12:00:39Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,OFF,0,0,19.1,60.9,NORMAL
r-00128,2026-07-11T12:00:39Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.446,1.86,19.1,60.9,NORMAL
r-00129,2026-07-11T12:00:39Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,OFF,0,0,19.1,60.9,NORMAL
r-00130,2026-07-11T17:30:32Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.134,0.56,18.31,61.69,NORMAL
r-00131,2026-07-11T17:30:32Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.485,2.02,18.31,61.69,NORMAL
r-00132,2026-07-11T17:30:32Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.568,2.37,18.31,61.69,NORMAL
r-00133,2026-07-11T17:30:32Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,18.31,61.69,NORMAL
r-00134,2026-07-11T17:30:32Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,ON,2.173,9.05,18.31,61.69,NORMAL
r-00135,2026-07-11T17:30:32Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,OFF,0,0,18.31,61.69,NORMAL
r-00136,2026-07-11T17:30:32Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,OFF,0,0,18.31,61.69,NORMAL
r-00137,2026-07-11T17:30:32Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,18.31,61.69,NORMAL
r-00138,2026-07-11T17:30:32Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,18.31,61.69,NORMAL
r-00139,2026-07-11T17:30:32Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,18.31,61.69,NORMAL
r-00140,2026-07-11T17:30:32Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,ON,0.229,0.95,18.31,61.69,NORMAL
r-00141,2026-07-11T17:30:32Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.514,2.14,18.31,61.69,NORMAL
r-00142,2026-07-11T17:30:32Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.292,1.22,18.31,61.69,NORMAL
r-00143,2026-07-11T19:45:08Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.134,0.56,20.63,59.37,NORMAL
r-00144,2026-07-11T19:45:08Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.475,1.98,20.63,59.37,NORMAL
r-00145,2026-07-11T19:45:08Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.53,2.21,20.63,59.37,NORMAL
r-00146,2026-07-11T19:45:08Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,ON,0.237,0.99,20.63,59.37,NORMAL
r-00147,2026-07-11T19:45:08Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,ON,2.465,10.27,20.63,59.37,NORMAL
r-00148,2026-07-11T19:45:08Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,OFF,0,0,20.63,59.37,NORMAL
r-00149,2026-07-11T19:45:08Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,OFF,0,0,20.63,59.37,NORMAL
r-00150,2026-07-11T19:45:08Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,20.63,59.37,NORMAL
r-00151,2026-07-11T19:45:08Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,20.63,59.37,NORMAL
r-00152,2026-07-11T19:45:08Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,20.63,59.37,NORMAL
r-00153,2026-07-11T19:45:08Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,ON,0.209,0.87,20.63,59.37,NORMAL
r-00154,2026-07-11T19:45:08Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.692,2.88,20.63,59.37,NORMAL
r-00155,2026-07-11T19:45:08Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.21,0.88,20.63,59.37,NORMAL
r-00156,2026-07-11T22:10:08Z,home-002,100,240,80,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.167,0.7,43.93,36.07,NORMAL
r-00157,2026-07-11T22:10:08Z,home-002,100,240,80,lighting,Lighting circuits,indoor,critical,0.5,ON,0.334,1.39,43.93,36.07,NORMAL
r-00158,2026-07-11T22:10:08Z,home-002,100,240,80,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.53,2.21,43.93,36.07,NORMAL
r-00159,2026-07-11T22:10:08Z,home-002,100,240,80,computer_office,Home office / computers,indoor,user_driven,0.35,OFF,0,0,43.93,36.07,NORMAL
r-00160,2026-07-11T22:10:08Z,home-002,100,240,80,heat_pump,Heat pump HVAC,outdoor,comfort,3.5,ON,1.94,8.08,43.93,36.07,NORMAL
r-00161,2026-07-11T22:10:08Z,home-002,100,240,80,induction_stove,Induction stove,indoor,user_driven,7,ON,6.632,27.63,43.93,36.07,NORMAL
r-00162,2026-07-11T22:10:08Z,home-002,100,240,80,garage_tools,Garage / power tools,outdoor,user_driven,1.4,OFF,0,0,43.93,36.07,NORMAL
r-00163,2026-07-11T22:10:08Z,home-002,100,240,80,space_heater,Plug-in space heater,indoor,comfort,1.5,OFF,0,0,43.93,36.07,NORMAL
r-00164,2026-07-11T22:10:08Z,home-002,100,240,80,home_battery,Home battery (charging),indoor,resource,5,OFF,0,0,43.93,36.07,NORMAL
r-00165,2026-07-11T22:10:08Z,home-002,100,240,80,hot_tub,Hot tub heater,outdoor,deferable,4,OFF,0,0,43.93,36.07,NORMAL
r-00166,2026-07-11T22:10:08Z,home-002,100,240,80,tv_entertainment,TV & entertainment,indoor,user_driven,0.25,ON,0.152,0.63,43.93,36.07,NORMAL
r-00167,2026-07-11T22:10:08Z,home-002,100,240,80,sump_pump,Sump pump,indoor,critical,0.75,ON,0.517,2.15,43.93,36.07,NORMAL
r-00168,2026-07-11T22:10:08Z,home-002,100,240,80,outdoor_lighting,Outdoor / landscape lighting,outdoor,flexible,0.3,ON,0.272,1.13,43.93,36.07,NORMAL
r-00169,2026-07-11T00:15:47Z,home-003,200,240,160,refrigerator,Refrigerator,indoor,critical,0.2,ON,0.124,0.52,9.14,150.86,NORMAL
r-00170,2026-07-11T00:15:47Z,home-003,200,240,160,lighting,Lighting circuits,indoor,critical,0.5,ON,0.484,2.02,9.14,150.86,NORMAL
r-00171,2026-07-11T00:15:47Z,home-003,200,240,160,medical_load,Medical / essential device,indoor,critical,0.6,ON,0.563,2.35,9.14,150.86,NORMAL
r-00172,2026-07-11T00:15:47Z,home-003,200,240,160,ac_window,Window A/C unit,indoor,comfort,1.1,OFF,0,0,9.14,150.86,NORMAL
r-00173,2026-07-11T00:15:47Z,home-003,200,240,160,dishwasher,Dishwasher,indoor,flexible,1.2,OFF,0,0,9.14,150.86,NORMAL
r-00174,2026-07-11T00:15:47Z,home-003,200,240,160,freezer,Chest freezer,indoor,critical,0.15,ON,0.142,0.59,9.14,150.86,NORMAL
